ID_Producto,Producto,Cantidad,Precio_Total,Fecha_de_Venta,Color,Tamaño,Canal_de_Venta,Marca,Proveedor,Pais_de_Origen,Material
P0001,Pantalón denim,32,2751.68,01/01/24,Rojo,L,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Lana
P0002,Vestido estampado,45,1716.75,01/01/24,Verde,S,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Denim
P0003,Bufanda de lana,48,2534.4,01/01/24,Blanco,L,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Lana
P0004,Vestido estampado,12,457.8,01/01/24,Rojo,XL,Online,Modern Fusion,Global Textiles Inc.,Bangladesh,Denim
P0005,Zapatos de cuero,41,1649.02,01/01/24,Negro,M,Online,Modern Fusion,Global Textiles Inc.,India,Poliéster
P0006,Pantalón denim,16,1375.84,01/01/24,Rojo,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Lana
P0007,Zapatos de cuero,14,563.08,01/01/24,Blanco,L,Online,Modern Fusion,Global Textiles Inc.,India,Lana
P0008,Bufanda de lana,1,52.8,01/01/24,Negro,S,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Lana
P0009,Bufanda de lana,32,1689.6,01/01/24,Verde,XL,Online,Modern Fusion,HighTech Materials S.A.,India,Algodón
P0010,Vestido estampado,21,801.15,01/01/24,Azul,XL,Online,Urban Trends,Eco Fabrics Ltd.,México,Denim
P0011,Camiseta algodón,4,101.8,01/01/24,Verde,S,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Denim
P0012,Camiseta algodón,9,229.05,01/01/24,Azul,XL,Online,Urban Trends,HighTech Materials S.A.,Bangladesh,Denim
P0013,Bufanda de lana,46,2428.8,01/01/24,Azul,M,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Algodón
P0014,Bufanda de lana,22,1161.6,01/01/24,Blanco,L,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Denim
P0015,Pantalón denim,12,1031.88,01/01/24,Negro,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Lana
P0016,Bufanda de lana,30,1584,01/01/24,Negro,XL,Online,Urban Trends,HighTech Materials S.A.,India,Cuero
P0017,Bufanda de lana,30,1584,01/01/24,Rojo,M,Online,Urban Trends,Global Textiles Inc.,Bangladesh,Poliéster
P0018,Pantalón denim,32,2751.68,01/01/24,Verde,M,Online,Urban Trends,Global Textiles Inc.,Bangladesh,Denim
P0019,Zapatos de cuero,36,1447.92,01/01/24,Blanco,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,México,Algodón
P0020,Zapatos de cuero,7,281.54,01/01/24,Verde,XL,Online,Modern Fusion,Global Textiles Inc.,México,Algodón
P0021,Pantalón denim,17,1461.83,01/01/24,Rojo,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Denim
P0022,Pantalón denim,1,85.99,01/01/24,Rojo,XL,Online,Modern Fusion,Eco Fabrics Ltd.,China,Cuero
P0023,Zapatos de cuero,14,563.08,01/01/24,Blanco,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,China,Denim
P0024,Zapatos de cuero,47,1890.34,01/01/24,Rojo,L,Online,Modern Fusion,Global Textiles Inc.,India,Algodón
P0025,Zapatos de cuero,44,1769.68,02/01/24,Blanco,M,Online,Modern Fusion,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0026,Zapatos de cuero,44,1769.68,02/01/24,Rojo,S,Online,Urban Trends,Global Textiles Inc.,Turquía,Cuero
P0027,Vestido estampado,38,1449.7,02/01/24,Negro,M,Online,Urban Trends,Global Textiles Inc.,Bangladesh,Denim
P0028,Pantalón denim,26,2235.74,02/01/24,Blanco,L,Tienda física,Classic Elegance,Global Textiles Inc.,Turquía,Poliéster
P0029,Camiseta algodón,27,687.15,02/01/24,Negro,XL,Tienda física,Classic Elegance,Global Textiles Inc.,México,Denim
P0030,Vestido estampado,45,1716.75,02/01/24,Negro,S,Online,Modern Fusion,HighTech Materials S.A.,India,Cuero
P0031,Camiseta algodón,16,407.2,02/01/24,Blanco,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,México,Algodón
P0032,Camiseta algodón,46,1170.7,02/01/24,Verde,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Bangladesh,Cuero
P0033,Bufanda de lana,7,369.6,02/01/24,Azul,S,Tienda física,Classic Elegance,Global Textiles Inc.,India,Lana
P0034,Pantalón denim,32,2751.68,02/01/24,Rojo,L,Online,Modern Fusion,HighTech Materials S.A.,Turquía,Denim
P0035,Vestido estampado,25,953.75,02/01/24,Rojo,L,Online,Modern Fusion,Global Textiles Inc.,Turquía,Poliéster
P0036,Pantalón denim,31,2665.69,02/01/24,Verde,XL,Online,Modern Fusion,Eco Fabrics Ltd.,India,Poliéster
P0037,Zapatos de cuero,16,643.52,02/01/24,Azul,L,Online,Urban Trends,Eco Fabrics Ltd.,México,Cuero
P0038,Pantalón denim,41,3525.59,02/01/24,Verde,L,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Cuero
P0039,Camiseta algodón,14,356.3,02/01/24,Azul,XL,Tienda física,Classic Elegance,Global Textiles Inc.,México,Cuero
P0040,Zapatos de cuero,25,1005.5,02/01/24,Blanco,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Poliéster
P0041,Pantalón denim,30,2579.7,02/01/24,Blanco,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Algodón
P0042,Pantalón denim,7,601.93,02/01/24,Negro,S,Tienda física,Classic Elegance,HighTech Materials S.A.,China,Poliéster
P0043,Camiseta algodón,12,305.4,02/01/24,Negro,XL,Online,Urban Trends,Eco Fabrics Ltd.,India,Algodón
P0044,Zapatos de cuero,3,120.66,02/01/24,Blanco,M,Online,Urban Trends,HighTech Materials S.A.,México,Cuero
