ID_Producto,Descripción,Cantidad,Precio_Unitario,Fecha_de_Venta,Color,Tamaño,Canal_de_Venta,Marca,Proveedor,Pais_de_Origen,Material
P0001,Pantalón denim,32,13.14,2024-01-01 00:00:00,Rojo,L,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Lana
P0002,Vestido estampado,45,66.21,2024-01-01 01:00:00,Verde,S,Tienda física,Classic Elegance,Global Textiles Inc.,Bangladesh,Denim
P0003,Bufanda de lana,48,59.2,2024-01-01 02:00:00,Blanco,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Lana
P0004,Vestido estampado,12,28.72,2024-01-01 03:00:00,Rojo,XL,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Denim
P0005,Zapatos de cuero,41,67.88,2024-01-01 04:00:00,Negro,M,Tienda física,Classic Elegance,Global Textiles Inc.,India,Poliéster
P0006,Pantalón denim,16,65.53,2024-01-01 05:00:00,Rojo,L,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Lana
P0007,Zapatos de cuero,14,81.85,2024-01-01 06:00:00,Blanco,L,Online,Urban Trends,Global Textiles Inc.,India,Lana
P0008,Bufanda de lana,1,88.83,2024-01-01 07:00:00,Negro,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Lana
P0009,Bufanda de lana,32,55.91,2024-01-01 08:00:00,Verde,XL,Online,Urban Trends,HighTech Materials S.A.,India,Algodón
P0010,Vestido estampado,21,54.13,2024-01-01 09:00:00,Azul,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,México,Denim
P0011,Camiseta algodón,4,65.94,2024-01-01 10:00:00,Verde,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Denim
P0012,Camiseta algodón,9,75.63,2024-01-01 11:00:00,Azul,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Denim
P0013,Bufanda de lana,46,42.06,2024-01-01 12:00:00,Azul,M,Tienda física,Classic Elegance,Global Textiles Inc.,China,Algodón
P0014,Bufanda de lana,22,55.42,2024-01-01 13:00:00,Blanco,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Denim
P0015,Pantalón denim,12,62.66,2024-01-01 14:00:00,Negro,S,Online,Urban Trends,Global Textiles Inc.,México,Lana
P0016,Bufanda de lana,30,98.95,2024-01-01 15:00:00,Negro,XL,Online,Urban Trends,HighTech Materials S.A.,India,Cuero
P0017,Bufanda de lana,30,62.89,2024-01-01 16:00:00,Rojo,M,Tienda física,Classic Elegance,Global Textiles Inc.,Bangladesh,Poliéster
P0018,Pantalón denim,32,30.18,2024-01-01 17:00:00,Verde,M,Tienda física,Classic Elegance,Global Textiles Inc.,Bangladesh,Denim
P0019,Zapatos de cuero,36,62.92,2024-01-01 18:00:00,Blanco,XL,Online,Urban Trends,HighTech Materials S.A.,México,Algodón
P0020,Zapatos de cuero,7,83.75,2024-01-01 19:00:00,Verde,XL,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Algodón
P0021,Pantalón denim,17,87.17,2024-01-01 20:00:00,Rojo,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Denim
P0022,Pantalón denim,1,82.02,2024-01-01 21:00:00,Rojo,XL,Online,Urban Trends,Eco Fabrics Ltd.,China,Cuero
P0023,Zapatos de cuero,14,89.94,2024-01-01 22:00:00,Blanco,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,China,Denim
P0024,Zapatos de cuero,47,40.13,2024-01-01 23:00:00,Rojo,L,Online,Urban Trends,Global Textiles Inc.,India,Algodón
P0025,Zapatos de cuero,44,55.68,2024-01-02 00:00:00,Blanco,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0026,Zapatos de cuero,44,80.16,2024-01-02 01:00:00,Rojo,S,Tienda física,Classic Elegance,Global Textiles Inc.,Turquía,Cuero
P0027,Vestido estampado,38,33.8,2024-01-02 02:00:00,Negro,M,Tienda física,Classic Elegance,Global Textiles Inc.,Bangladesh,Denim
P0028,Pantalón denim,26,43.44,2024-01-02 03:00:00,Blanco,L,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Poliéster
P0029,Camiseta algodón,27,84.8,2024-01-02 04:00:00,Negro,XL,Tienda física,Classic Elegance,Global Textiles Inc.,México,Denim
P0030,Vestido estampado,45,79.31,2024-01-02 05:00:00,Negro,S,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Cuero
P0031,Camiseta algodón,16,97.41,2024-01-02 06:00:00,Blanco,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,México,Algodón
P0032,Camiseta algodón,46,99.64,2024-01-02 07:00:00,Verde,M,Online,Urban Trends,Eco Fabrics Ltd.,Bangladesh,Cuero
P0033,Bufanda de lana,7,31.67,2024-01-02 08:00:00,Azul,S,Online,Urban Trends,Global Textiles Inc.,India,Lana
P0034,Pantalón denim,32,91.04,2024-01-02 09:00:00,Rojo,L,Tienda física,Classic Elegance,HighTech Materials S.A.,Turquía,Denim
P0035,Vestido estampado,25,18.51,2024-01-02 10:00:00,Rojo,L,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Poliéster
P0036,Pantalón denim,31,73.88,2024-01-02 11:00:00,Verde,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Poliéster
P0037,Zapatos de cuero,16,29.81,2024-01-02 12:00:00,Azul,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,México,Cuero
P0038,Pantalón denim,41,37.03,2024-01-02 13:00:00,Verde,L,Online,Urban Trends,HighTech Materials S.A.,India,Cuero
P0039,Camiseta algodón,14,95.17,2024-01-02 14:00:00,Azul,XL,Online,Urban Trends,Global Textiles Inc.,México,Cuero
P0040,Zapatos de cuero,25,33.68,2024-01-02 15:00:00,Blanco,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Poliéster
P0041,Pantalón denim,30,70.59,2024-01-02 16:00:00,Blanco,S,Online,Urban Trends,Global Textiles Inc.,México,Algodón
P0042,Pantalón denim,7,26.03,2024-01-02 17:00:00,Negro,S,Online,Urban Trends,HighTech Materials S.A.,China,Poliéster
P0043,Camiseta algodón,12,18.41,2024-01-02 18:00:00,Negro,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Algodón
P0044,Zapatos de cuero,3,40.54,2024-01-02 19:00:00,Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,México,Cuero
P0045,Camiseta algodón,27,66.18,2024-01-02 20:00:00,Negro,M,Online,Urban Trends,Eco Fabrics Ltd.,Bangladesh,Lana
P0046,Pantalón denim,46,32.32,2024-01-02 21:00:00,Blanco,S,Online,Urban Trends,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0047,Vestido estampado,19,37.02,2024-01-02 22:00:00,Verde,S,Online,Urban Trends,Global Textiles Inc.,India,Cuero
P0048,Vestido estampado,43,73.79,2024-01-02 23:00:00,Rojo,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Poliéster
P0049,Bufanda de lana,37,19.25,2024-01-03 00:00:00,Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,Turquía,Cuero
P0050,Vestido estampado,45,50.22,2024-01-03 01:00:00,Blanco,XL,Online,Urban Trends,HighTech Materials S.A.,México,Poliéster
P0051,Zapatos de cuero,42,94.76,2024-01-03 02:00:00,Blanco,S,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Denim
P0052,Bufanda de lana,7,45.73,2024-01-03 03:00:00,Negro,L,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Poliéster
P0053,Zapatos de cuero,49,49.08,2024-01-03 04:00:00,Negro,L,Tienda física,Classic Elegance,Global Textiles Inc.,Bangladesh,Denim
P0054,Vestido estampado,16,76.44,2024-01-03 05:00:00,Negro,L,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Algodón
P0055,Vestido estampado,32,80.11,2024-01-03 06:00:00,Negro,XL,Online,Urban Trends,Eco Fabrics Ltd.,México,Poliéster
P0056,Pantalón denim,8,79.26,2024-01-03 07:00:00,Verde,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,China,Algodón
P0057,Zapatos de cuero,49,99.81,2024-01-03 08:00:00,Blanco,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Lana
